model,rmse,mae,r2_score
RandomForest,1.0454207859602984,0.8297676634869702,0.031673482931858454
LinearRegression,1.0610360607247942,0.8462287511571545,0.002529979389221504
GradientBoosting,1.0481285261885018,0.833235471369584,0.02665086948235551
